Year,2A,2B,2C,3A,3B,4,4A,4B,4CDE,Total
1965,95,5429,5475,10424,6382,853,NA,NA,NA,28658
1964,127,5380,3370,10233,6822,1188,NA,NA,NA,27120
1963,186,7040,4645,10120,6341,3978,NA,NA,NA,32309
1962,204,6817,6006,10904,6114,3910,NA,NA,NA,33956
1961,227,7294,5575,10464,6024,1846,NA,NA,NA,31429
1960,404,8237,5770,9548,5851,2676,NA,NA,NA,32486
1959,304,7634,5910,11503,4990,1955,NA,NA,NA,32296
1958,236,8387,5080,11122,3447,989,NA,NA,NA,29261
1957,272,8024,5557,10365,3370,18,NA,NA,NA,27606
1956,240,9099,6582,10029,4137,118,NA,NA,NA,30205
1955,277,8459,3874,10460,2980,41,NA,NA,NA,26091
1954,386,11294,5008,13363,1910,59,NA,NA,NA,32019
1953,227,10795,3815,10360,1728,218,NA,NA,NA,27143
1952,281,9358,4336,12369,1642,254,NA,NA,NA,28241
1951,268,9090,4522,9462,2059,23,NA,NA,NA,25424
1950,318,7920,4010,10823,2858,36,NA,NA,NA,25964
1949,281,7412,4286,9580,3348,54,NA,NA,NA,24961
1948,186,8015,4423,9040,3402,136,NA,NA,NA,25202
1947,259,8015,4309,9271,3325,86,NA,NA,NA,25265
1946,408,8332,4491,10160,3856,91,NA,NA,NA,27338
1945,331,6613,3851,9104,4318,5,NA,NA,NA,24222
1944,408,6836,4708,9235,3053,0,NA,NA,NA,24240
1943,562,7244,3697,9303,3552,0,NA,NA,NA,24358
1942,327,6518,3787,9752,2477,0,NA,NA,NA,22861
1941,231,7498,3289,9906,2767,0,NA,NA,NA,23691
1940,445,8078,3456,10206,2032,0,NA,NA,NA,24217
1939,617,8015,2976,9598,1882,0,NA,NA,NA,23088
1938,431,7257,3243,9371,2173,0,NA,NA,NA,22475
1937,417,6935,3570,9285,2268,0,NA,NA,NA,22475
1936,408,6201,3969,9113,2504,0,NA,NA,NA,22194
1935,803,6446,3438,9054,1733,0,NA,NA,NA,21473
1934,1111,6405,3484,7203,2077,0,NA,NA,NA,20285
1933,794,6065,3697,8922,1801,0,NA,NA,NA,21278
1932,862,6010,3511,7580,2218,0,NA,NA,NA,20180
1931,739,6137,3352,6627,3202,0,NA,NA,NA,20058
1930,717,5498,3869,8251,4123,0,NA,NA,NA,22457
1929,989,6246,4468,10101,4019,0,NA,NA,NA,25823
1928,1030,7543,3438,10224,2381,0,NA,NA,NA,24612
1927,1188,6391,3366,10260,3719,0,NA,NA,NA,24925
1926,1052,7312,3252,9530,2654,0,NA,NA,NA,23800
1925,998,6192,3624,10052,2114,0,NA,NA,NA,22979
1924,826,6867,4472,11258,680,0,NA,NA,NA,24104
1923,1188,7580,4409,9798,304,0,NA,NA,NA,23278
1922,1184,8627,4182,5275,9,0,NA,NA,NA,19278
1921,1538,10600,4636,6690,331,0,NA,NA,NA,23795
1920,735,8949,4994,6164,304,0,NA,NA,NA,21146
1919,608,7357,4105,5851,290,0,NA,NA,NA,18207
1918,599,7267,4051,4935,245,0,NA,NA,NA,17096
1917,703,8518,4749,7693,381,0,NA,NA,NA,22045
1916,694,8373,4672,8419,417,0,NA,NA,NA,22571
1915,1007,12174,6790,10573,522,0,NA,NA,NA,31062
1914,1016,12297,6858,9920,490,0,NA,NA,NA,30586
1913,1266,15331,8550,4799,236,0,NA,NA,NA,30182
1912,1361,16461,9181,390,18,0,NA,NA,NA,27411
1911,1302,15744,8782,0,0,0,NA,NA,NA,25823
1910,1184,14338,7997,0,0,0,NA,NA,NA,23519
1909,1170,14166,7902,0,0,0,NA,NA,NA,23238
1908,1157,13998,7806,0,0,0,NA,NA,NA,22961
1907,1143,13825,7711,0,0,0,NA,NA,NA,22680
1906,821,9956,5552,0,0,0,NA,NA,NA,16329
1905,503,6083,3393,0,0,0,NA,NA,NA,9979
1904,640,7765,4332,0,0,0,NA,NA,NA,12737
1903,576,6972,3887,0,0,0,NA,NA,NA,11435
1902,513,6178,3447,0,0,0,NA,NA,NA,10133
1901,408,4944,2758,0,0,0,NA,NA,NA,8106
1900,308,3706,2068,0,0,0,NA,NA,NA,6083
1899,204,2472,1379,0,0,0,NA,NA,NA,4055
1898,177,2145,1197,0,0,0,NA,NA,NA,3524
1897,150,1823,1016,0,0,0,NA,NA,NA,2989
1896,122,1501,835,0,0,0,NA,NA,NA,2458
1895,95,1175,658,0,0,0,NA,NA,NA,1928
1894,86,1039,581,0,0,0,NA,NA,NA,1706
1893,73,889,494,0,0,0,NA,NA,NA,1461
1892,64,767,426,0,0,0,NA,NA,NA,1256
1891,50,590,331,0,0,0,NA,NA,NA,966
1890,32,381,213,0,0,0,NA,NA,NA,621
1889,32,358,200,0,0,0,NA,NA,NA,585
1888,32,404,227,0,0,0,NA,NA,NA,667
